Route-name;Routenumber;node;Reference;name in text;millia passum;Leuga;Pleiades nr.;modern name;Lat;Long
;19;i;383.3;Condate;15;;108900;Montereau-Fault-Yonne;48.384734;2.956193
;19;j;383.4;Agedincum;13;;108729;Sens;48.1978885;3.2855855
;19;k;383.5;Glano;17;;114773;?Paisy-Cosdon?;?;?
;19;l;383.6;Augustobona;16;;108775;Troyes;48.297473;4.074806
Item a Ratomago Luticiam;20;a;384.1-2;Ratomago;77;;109287;Rouen;49.440841;1.096451
;20;b;384.3;Uggate;9;;109401;Caudebec-lès-Elbeuf;49.282859;1.017944
;20;c;384.4;Mediolano Aulercorum;14;;109153;Evreux;49.024342;1.151012
;20;d;384.5;Durocasis;17;;108943;Dreux;48.737951;1.361087
;20;e;384.6;Dioduro;22;;108928;Jouars-Pontchartrain - see also Ihm 1905, REV1-2, p. 1241;48.791192;1.885708
;20;f;384.7;Luticia;14;;109126;Paris;48.8544055;2.346168
Item a Caesaromago Luticiam usque;21;a;384.8-9;Caesaromago;46;;108844;Beauvais;49.4304035;2.081041
;21;b;384.10;Pentromantalium;17;;114789;see comment Pleiades ( (Le Vaux de la Celle);49.120178;1.771454
;21;c;384.11;Brivaisare;14;;113266;?;?;?
;21;d;384.12;Luticia;15;;109126;Paris;48.8544055;2.346168
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
